id,platform,gene,value
1,platform1,gene1,0.616567817
1,platform2,gene1,-1.692101521
1,platform3,gene1,0.368742058
1,platform4,gene1,0.96785921
1,platform5,gene1,1.276578681
1,platform6,gene1,-0.224961271
1,platform1,gene2,-0.321892586
1,platform2,gene2,1.487837832
1,platform3,gene2,-1.667928046
1,platform4,gene2,-0.436829977
1,platform5,gene2,0.457462079
1,platform6,gene2,-1.617773765
1,platform1,gene3,0.279627862
1,platform2,gene3,1.877864021
1,platform3,gene3,-0.004060653
1,platform4,gene3,-0.278454025
1,platform5,gene3,0.474911714
1,platform6,gene3,-0.279072171
1,platform1,gene4,0.813400374
1,platform2,gene4,0.904435464
1,platform3,gene4,0.002691661
1,platform4,gene4,-1.176692158
1,platform5,gene4,-1.318220727
1,platform6,gene4,-0.592997366
1,platform1,gene5,0.797380501
1,platform2,gene5,-1.958205175
1,platform3,gene5,-1.886325159
1,platform4,gene5,-0.653779825
1,platform5,gene5,0.394394848
1,platform6,gene5,-0.913566048
1,platform1,gene6,0.886749037
1,platform2,gene6,0.33336997
1,platform3,gene6,-0.170639618
1,platform4,gene6,0.818828137
1,platform5,gene6,0.388365163
1,platform6,gene6,-0.445935027
2,platform1,gene1,0.231114934
2,platform2,gene1,0.647513358
2,platform3,gene1,0.356283345
2,platform4,gene1,-0.658010208
2,platform5,gene1,0.855202205
2,platform6,gene1,1.152936226
2,platform1,gene2,0.276274557
2,platform2,gene2,0.144104662
2,platform3,gene2,-0.075625081
2,platform4,gene2,2.161415846
2,platform5,gene2,0.276315532
2,platform6,gene2,-0.158294029
2,platform1,gene3,-2.507917802
2,platform2,gene3,-1.565281765
2,platform3,gene3,-0.077673201
2,platform4,gene3,0.206294045
2,platform5,gene3,0.276872459
2,platform6,gene3,0.82150678
2,platform1,gene4,-0.194152409
2,platform2,gene4,1.214588794
2,platform3,gene4,-0.921516043
2,platform4,gene4,-1.20844272
2,platform5,gene4,-1.228986178
2,platform6,gene4,0.742297024
2,platform1,gene5,-0.082919942
2,platform2,gene5,0.789817922
2,platform3,gene5,-0.267706422
2,platform4,gene5,-0.591892102
2,platform5,gene5,-0.368352575
2,platform6,gene5,-1.852616824
2,platform1,gene6,-1.16961526
2,platform2,gene6,-1.442034646
2,platform3,gene6,1.054322272
2,platform4,gene6,-0.597330091
2,platform5,gene6,0.789459853
2,platform6,gene6,1.516490602
3,platform1,gene1,-0.191774809
3,platform2,gene1,0.283878906
3,platform3,gene1,-1.751067519
3,platform4,gene1,-0.818669778
3,platform5,gene1,0.056214849
3,platform6,gene1,0.299086903
3,platform1,gene2,-0.759398117
3,platform2,gene2,2.684858999
3,platform3,gene2,-0.458390139
3,platform4,gene2,0.064243557
3,platform5,gene2,0.649791867
3,platform6,gene2,-0.026018635
3,platform1,gene3,-0.643567387
3,platform2,gene3,1.045305664
3,platform3,gene3,1.615545323
3,platform4,gene3,-0.029693971
3,platform5,gene3,0.562267345
3,platform6,gene3,-0.097412499
3,platform1,gene4,1.016455218
3,platform2,gene4,-1.156167394
3,platform3,gene4,2.320860224
3,platform4,gene4,-0.603531248
3,platform5,gene4,-1.458849414
3,platform6,gene4,-0.350917827
3,platform1,gene5,0.146708484
3,platform2,gene5,1.623621208
3,platform3,gene5,0.911209677
3,platform4,gene5,0.142458432
3,platform5,gene5,-1.389483524
3,platform6,gene5,-0.866037745
3,platform1,gene6,-0.163284932
3,platform2,gene6,2.553026113
3,platform3,gene6,-1.860227574
3,platform4,gene6,1.131054652
3,platform5,gene6,-0.527234257
3,platform6,gene6,1.6659909
4,platform1,gene1,-1.13920064
4,platform2,gene1,0.143623235
4,platform3,gene1,-1.099550942
4,platform4,gene1,0.903516426
4,platform5,gene1,1.483779489
4,platform6,gene1,1.950721006
4,platform1,gene2,0.797600658
4,platform2,gene2,1.843266255
4,platform3,gene2,1.246423909
4,platform4,gene2,-0.131874912
4,platform5,gene2,0.477037238
4,platform6,gene2,-0.971994211
4,platform1,gene3,-0.185202169
4,platform2,gene3,1.220963708
4,platform3,gene3,0.541284143
4,platform4,gene3,0.457357332
4,platform5,gene3,-1.03813104
4,platform6,gene3,-0.60451323
4,platform1,gene4,-0.764606014
4,platform2,gene4,0.39529587
4,platform3,gene4,-0.99050763
4,platform4,gene4,0.56204139
4,platform5,gene4,-1.116416412
4,platform6,gene4,1.828530458
4,platform1,gene5,0.460591349
4,platform2,gene5,-0.701003612
4,platform3,gene5,0.241045933
4,platform4,gene5,-0.352453199
4,platform5,gene5,0.37114796
4,platform6,gene5,0.243532719
4,platform1,gene6,-1.014114173
4,platform2,gene6,-0.791313879
4,platform3,gene6,0.299593685
4,platform4,gene6,1.639051909
4,platform5,gene6,1.084617009
4,platform6,gene6,-0.624567474
5,platform1,gene1,0.825922902
5,platform2,gene1,-0.048568353
5,platform3,gene1,0.301313652
5,platform4,gene1,0.260361491
5,platform5,gene1,2.575449764
5,platform6,gene1,-1.185288811
5,platform1,gene2,0.100919859
5,platform2,gene2,-1.779977288
5,platform3,gene2,0.589835923
5,platform4,gene2,1.096608472
5,platform5,gene2,1.445662241
5,platform6,gene2,-1.925145252
5,platform1,gene3,0.412769497
5,platform2,gene3,1.593369951
5,platform3,gene3,-0.414015863
5,platform4,gene3,-0.212150532
5,platform5,gene3,-0.036537222
5,platform6,gene3,0.365018751
5,platform1,gene4,0.665159876
5,platform2,gene4,1.317820884
5,platform3,gene4,-0.09548759
5,platform4,gene4,0.196278045
5,platform5,gene4,2.487997877
5,platform6,gene4,0.431098928
5,platform1,gene5,0.188753109
5,platform2,gene5,-1.342243125
5,platform3,gene5,0.002856048
5,platform4,gene5,-0.221326153
5,platform5,gene5,-0.01104583
5,platform6,gene5,-0.575417641
5,platform1,gene6,-0.686815652
5,platform2,gene6,-0.720773632
5,platform3,gene6,-0.214504515
5,platform4,gene6,1.368132648
5,platform5,gene6,1.049086627
5,platform6,gene6,-0.359975118
6,platform1,gene1,-1.685916455
6,platform2,gene1,-0.844583429
